gene_ID	PC_ID	genome	KO_ID	KO_annotation	COG_ID	COG_annotation	rRNA
220	PC_00002136	genome_2	K00970	pcnB; poly(A) polymerase [EC:2.7.7.19]	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	FALSE
221	PC_00013237	genome_2	NA	NA	NA	NA	FALSE
222	PC_00004940	genome_2	K01008	selD; selenide, water dikinase [EC:2.7.9.3]	COG0709!!!COG1252	Selenophosphate synthase!!!NADH dehydrogenase, FAD-containing subunit	FALSE
223	PC_00000056	genome_2	K01784	galE; UDP-glucose 4-epimerase [EC:5.1.3.2]	COG1087	UDP-glucose 4-epimerase	FALSE
224	PC_00000725	genome_2	K01892	HARS; histidyl-tRNA synthetase [EC:6.1.1.21]	COG0124	Histidyl-tRNA synthetase	FALSE
225	PC_00001016	genome_2	K00012	UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	COG1004	UDP-glucose 6-dehydrogenase	FALSE
226	PC_00000048	genome_2	K08679	E5.1.3.6; UDP-glucuronate 4-epimerase [EC:5.1.3.6]	COG0451	Nucleoside-diphosphate-sugar epimerase	FALSE
227	PC_00002382	genome_2	NA	NA	NA	NA	FALSE
228	PC_00001408	genome_2	K02711	psbJ; photosystem II PsbJ protein	NA	NA	FALSE
229	PC_00001406	genome_2	K02713	psbL; photosystem II PsbL protein	NA	NA	FALSE
230	PC_00000082	genome_2	K02708	psbF; photosystem II cytochrome b559 subunit beta	NA	NA	FALSE
231	PC_00000168	genome_2	K02707	psbE; photosystem II cytochrome b559 subunit alpha	NA	NA	FALSE
232	PC_00000560	genome_2	NA	NA	COG4447	Uncharacterized protein related to plant photosystem II stability/assembly factor	FALSE
233	PC_00001128	genome_2	NA	NA	COG1773	Rubredoxin	FALSE
234	PC_00000228	genome_2	K05574	ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:1.6.5.3]	COG0838	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	FALSE
235	PC_00000803	genome_2	K05582	ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:1.6.5.3]	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase	FALSE
236	PC_00001038	genome_2	K05581	ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:1.6.5.3]	COG0852	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)	FALSE
237	PC_00001072	genome_2	NA	NA	COG0391	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	FALSE
238	PC_00000869	genome_2	K02065	mlaF; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	COG1127	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, ATPase component MlaF	FALSE
239	PC_00001363	genome_2	K02067	mlaD; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	COG1463	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD	FALSE
240	PC_00000706	genome_2	K03404	chlD; magnesium chelatase subunit D [EC:6.6.1.1]	COG1239!!!COG1240	Mg-chelatase subunit ChlI!!!Mg-chelatase subunit ChlD	FALSE
241	PC_00001457	genome_2	K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	FALSE
242	PC_00000128	genome_2	NA	NA	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	FALSE
243	PC_00000128	genome_2	K01515	nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	FALSE
244	PC_00000139	genome_2	K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	COG0415	Deoxyribodipyrimidine photolyase	FALSE
245	PC_00000863	genome_2	NA	NA	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase	FALSE
246	PC_00001472	genome_2	NA	NA	COG1225	Peroxiredoxin	FALSE
247	PC_00001267	genome_2	NA	NA	NA	NA	FALSE
248	PC_00000776	genome_2	NA	NA	NA	NA	FALSE
249	PC_00000882	genome_2	K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	COG0415	Deoxyribodipyrimidine photolyase	FALSE
250	PC_00000229	genome_2	K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	COG0623	Enoyl-[acyl-carrier-protein] reductase (NADH)	FALSE
251	PC_00003012	genome_2	K08994	yneE; putative membrane protein	COG3781	Predicted membrane chloride channel, bestrophin family	FALSE
252	PC_00000593	genome_2	K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	COG0131	Imidazoleglycerol phosphate dehydratase HisB	FALSE
253	PC_00001110	genome_2	K00464	diox1; all-trans-8_-apo-beta-carotenal 15,15_-oxygenase [EC:1.13.11.75]	COG3670	Carotenoid cleavage dioxygenase or a related enzyme	FALSE
254	PC_00009999	genome_2	NA	NA	NA	NA	FALSE
255	PC_00005808	genome_2	NA	NA	COG2931	Ca2+-binding protein, RTX toxin-related	FALSE
256	PC_00005034	genome_2	NA	NA	COG2205	K+-sensing histidine kinase KdpD	FALSE
257	PC_00006034	genome_2	NA	NA	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	FALSE
258	PC_00005154	genome_2	NA	NA	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	FALSE
259	PC_00001987	genome_2	NA	NA	COG3471	Predicted secreted (periplasmic) protein	FALSE
260	PC_00002889	genome_2	NA	NA	COG0477	MFS family permease	FALSE
261	PC_00001003	genome_2	NA	NA	COG1292	Choline-glycine betaine transporter	FALSE
262	PC_00001266	genome_2	K00301	E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]	COG0665	Glycine/D-amino acid oxidase (deaminating)	FALSE
263	PC_00000895	genome_2	K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	COG0334	Glutamate dehydrogenase/leucine dehydrogenase	FALSE
264	PC_00000130	genome_2	NA	NA	NA	NA	FALSE
265	PC_00001004	genome_2	K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	FALSE
266	PC_00000697	genome_2	NA	NA	COG1109	Phosphomannomutase	FALSE
267	PC_00001305	genome_2	NA	NA	COG2251	Predicted nuclease, RecB family	FALSE
268	PC_00003494	genome_2	NA	NA	COG0354	Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification	FALSE
269	PC_00001099	genome_2	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	COG0461	Orotate phosphoribosyltransferase	FALSE
270	PC_00000118	genome_2	NA	NA	NA	NA	FALSE
271	PC_00000928	genome_2	NA	NA	COG1253	Hemolysin or related protein, contains CBS domains	FALSE
272	PC_00000484	genome_2	NA	NA	COG0673	Predicted dehydrogenase	FALSE
273	PC_00001031	genome_2	K07190	PHKA_B; phosphorylase kinase alpha/beta subunit	COG3387	Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family	FALSE
274	PC_00000929	genome_2	K05946	tagA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	FALSE
275	PC_00000166	genome_2	K02712	psbK; photosystem II PsbK protein	NA	NA	FALSE
276	PC_00000643	genome_2	K00773	tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]	COG0343	Queuine/archaeosine tRNA-ribosyltransferase	FALSE
277	PC_00002668	genome_2	K02233	E2.7.8.26; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	COG0368	Cobalamin synthase	FALSE
278	PC_00002112	genome_2	NA	NA	COG2205	K+-sensing histidine kinase KdpD	FALSE
279	PC_00000189	genome_2	NA	NA	NA	NA	FALSE
280	PC_00002268	genome_2	K06999	phospholipase/carboxylesterase	COG0400	Predicted esterase	FALSE
281	PC_00000814	genome_2	K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	COG0138	AICAR transformylase/IMP cyclohydrolase PurH	FALSE
282	PC_00000277	genome_2	NA	NA	NA	NA	FALSE
283	PC_00000551	genome_2	NA	NA	COG2801	Transposase InsO and inactivated derivatives	FALSE
284	PC_00000514	genome_2	K03527	ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	COG0761	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	FALSE
285	PC_00000478	genome_2	K03320	amt; ammonium transporter, Amt family	COG0004	Ammonia channel protein AmtB	FALSE
286	PC_00000836	genome_2	K06206	sfsA; sugar fermentation stimulation protein A	COG1489	DNA-binding protein, stimulates sugar fermentation	FALSE
287	PC_00000881	genome_2	K03980	murJ; putative peptidoglycan lipid II flippase	COG0728	Peptidoglycan biosynthesis protein MviN/MurJ, putative lipid II flippase	FALSE
288	PC_00000239	genome_2	NA	NA	NA	NA	FALSE
289	PC_00000420	genome_2	NA	NA	NA	NA	FALSE
290	PC_00001215	genome_2	NA	NA	NA	NA	FALSE
291	PC_00000103	genome_2	K00600	glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]	COG0112	Glycine/serine hydroxymethyltransferase	FALSE
292	PC_00000854	genome_2	NA	NA	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	FALSE
293	PC_00000796	genome_2	K03742	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]	COG1058!!!COG1546	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA!!!Nicotinamide mononucleotide (NMN) deamidase PncC	FALSE
294	PC_00000984	genome_2	K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	FALSE
295	PC_00000545	genome_2	K01704	leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	COG0066	3-isopropylmalate dehydratase small subunit	FALSE
296	PC_00001478	genome_2	NA	NA	COG1357	Uncharacterized protein YjbI, contains pentapeptide repeats	FALSE
297	PC_00001373	genome_2	NA	NA	COG1452	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	FALSE
298	PC_00001588	genome_2	K02710	psbI; photosystem II PsbI protein	NA	NA	FALSE
299	PC_00001327	genome_2	K01191	E3.2.1.24; alpha-mannosidase [EC:3.2.1.24]	COG0383	Alpha-mannosidase	FALSE
300	PC_00001479	genome_2	K02715	psbN; PsbN protein	NA	NA	FALSE
301	PC_00000148	genome_2	K02709	psbH; photosystem II PsbH protein	NA	NA	FALSE
302	PC_00000544	genome_2	K03116	tatA; sec-independent protein translocase protein TatA	COG1826	Sec-independent protein translocase protein TatA	FALSE
303	PC_00000414	genome_2	K01056	PTH1; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	COG0193	Peptidyl-tRNA hydrolase	FALSE
304	PC_00000191	genome_2	NA	NA	NA	NA	FALSE
305	PC_00002465	genome_2	NA	NA	COG0816	RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators	FALSE
306	PC_00001402	genome_2	NA	NA	COG4372	Uncharacterized conserved protein, contains DUF3084 domain	FALSE
307	PC_00000587	genome_2	K21561	ntcA; CRP/FNR family transcriptional regulator, global nitrogen regulator	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	FALSE
308	PC_00001263	genome_2	K00989	rph; ribonuclease PH [EC:2.7.7.56]	COG0689	Ribonuclease PH	FALSE
309	PC_00000585	genome_2	K00798	MMAB; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	COG2109	ATP:corrinoid adenosyltransferase	FALSE
310	PC_00000196	genome_2	K01494	dcd; dCTP deaminase [EC:3.5.4.13]	COG0717	Deoxycytidine triphosphate deaminase	FALSE
311	PC_00000516	genome_2	K03465	thyX; thymidylate synthase (FAD) [EC:2.1.1.148]	COG1351	Thymidylate synthase ThyX	FALSE
312	PC_00001238	genome_2	NA	NA	COG0526	Thiol-disulfide isomerase or thioredoxin	FALSE
313	PC_00002141	genome_2	NA	NA	NA	NA	FALSE
314	PC_00002456	genome_2	K08309	slt; soluble lytic murein transglycosylase [EC:4.2.2.-]	COG0741!!!COG3071	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)!!!Uncharacterized conserved protein HemY, contains two TPR repeats	FALSE
315	PC_00003011	genome_2	NA	NA	NA	NA	FALSE
316	PC_00000927	genome_2	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]	COG1109	Phosphomannomutase	FALSE
317	PC_00002372	genome_2	NA	NA	COG2971	BadF-type ATPase, related to human N-acetylglucosamine kinase	FALSE
318	PC_00000855	genome_2	K18814	ictB; putative inorganic carbon (hco3(-)) transporter	COG3307	O-antigen ligase	FALSE
319	PC_00001321	genome_2	K03439	trmB; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	COG0220	tRNA G46 methylase TrmB	FALSE
320	PC_00001025	genome_2	NA	NA	COG4398	Small ligand-binding sensory domain FIST	FALSE
321	PC_00000610	genome_2	NA	NA	NA	NA	FALSE
322	PC_00002651	genome_2	NA	NA	NA	NA	FALSE
323	PC_00010420	genome_2	NA	NA	NA	NA	FALSE
324	PC_00012265	genome_2	NA	NA	NA	NA	FALSE
325	PC_00012467	genome_2	NA	NA	NA	NA	FALSE
326	PC_00000997	genome_2	K01870	IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	COG0060!!!COG3064	Isoleucyl-tRNA synthetase!!!Membrane protein involved in colicin uptake	FALSE
327	PC_00003858	genome_2	NA	NA	COG0060!!!COG3064	Isoleucyl-tRNA synthetase!!!Membrane protein involved in colicin uptake	FALSE
328	PC_00000824	genome_2	K02294	crtR; beta-carotene hydroxylase [EC:1.14.13.-]	COG3239	Fatty acid desaturase	FALSE
329	PC_00000617	genome_2	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	FALSE
330	PC_00000487	genome_2	K01470	E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]	COG1402	 Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis	FALSE
331	PC_00000051	genome_2	NA	NA	NA	NA	FALSE
332	PC_00000914	genome_2	K09125	uncharacterized protein	COG1738	Uncharacterized PurR-regulated membrane protein YhhQ, DUF165 family	FALSE
333	PC_00000037	genome_2	K03652	MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]	COG2094	3-methyladenine DNA glycosylase Mpg	FALSE
334	PC_00000525	genome_2	K00609	pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	COG0540	Aspartate carbamoyltransferase, catalytic chain	FALSE
335	PC_00001462	genome_2	K03885	ndh; NADH dehydrogenase [EC:1.6.99.3]	COG1252	NADH dehydrogenase, FAD-containing subunit	FALSE
336	PC_00002050	genome_2	NA	NA	NA	NA	FALSE
337	PC_00000200	genome_2	NA	NA	NA	NA	FALSE
338	PC_00001428	genome_2	NA	NA	NA	NA	FALSE
339	PC_00004810	genome_2	NA	NA	COG1680	CubicO group peptidase, beta-lactamase class C family	FALSE
340	PC_00001161	genome_2	NA	NA	COG3536	Uncharacterized conserved protein, DUF971 family	FALSE
341	PC_00001361	genome_2	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	FALSE
342	PC_00000596	genome_2	K02716	psbO; photosystem II oxygen-evolving enhancer protein 1	NA	NA	FALSE
343	PC_00000584	genome_2	K00958	sat; sulfate adenylyltransferase [EC:2.7.7.4]	COG2046	ATP sulfurylase (sulfate adenylyltransferase)	FALSE
344	PC_00000011	genome_2	K03798	ftsH; cell division protease FtsH [EC:3.4.24.-]	COG0465	ATP-dependent Zn proteases	FALSE
345	PC_00002376	genome_2	K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	COG0800	2-keto-3-deoxy-6-phosphogluconate aldolase	FALSE
346	PC_00003286	genome_2	NA	NA	NA	NA	FALSE
347	PC_00003529	genome_2	NA	NA	NA	NA	FALSE
348	PC_00000603	genome_2	K01736	aroC; chorismate synthase [EC:4.2.3.5]	COG0082	Chorismate synthase	FALSE
349	PC_00001475	genome_2	K09705	uncharacterized protein	COG3542	Predicted sugar epimerase, cupin superfamily	FALSE
350	PC_00000948	genome_2	K13693	gpgS; glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	FALSE
351	PC_00000913	genome_2	K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]	COG0366	Glycosidase	FALSE
352	PC_00001509	genome_2	K07026	E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	COG3769	Predicted mannosyl-3-phosphoglycerate phosphatase, HAD superfamily	FALSE
353	PC_00001659	genome_2	NA	NA	COG1765	Uncharacterized OsmC-related protein	FALSE
354	PC_00002717	genome_2	K13421	UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]	COG0284!!!COG0461	Orotidine-5_-phosphate decarboxylase!!!Orotate phosphoribosyltransferase	FALSE
355	PC_00009164	genome_2	NA	NA	NA	NA	FALSE
356	PC_00002948	genome_2	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein	COG2860	Uncharacterized membrane protein YeiH	FALSE
357	PC_00000007	genome_2	K02703	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	NA	NA	FALSE
358	PC_00001474	genome_2	NA	NA	COG1032	Radical SAM superfamily enzyme YgiQ, UPF0313 family	FALSE
359	PC_00002815	genome_2	K07052	uncharacterized protein	COG1266	Membrane protease YdiL, CAAX protease family	FALSE
360	PC_00000783	genome_2	K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS	COG2127	ATP-dependent Clp protease adapter protein ClpS	FALSE
361	PC_00000875	genome_2	K10206	E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]	COG0436	Aspartate/methionine/tyrosine aminotransferase	FALSE
362	PC_00001079	genome_2	NA	NA	COG1032!!!COG5011	Radical SAM superfamily enzyme YgiQ, UPF0313 family!!!Uncharacterized conserved protein, DUF2344 family	FALSE
363	PC_00001032	genome_2	K08300	rne; ribonuclease E [EC:3.1.26.12]	COG1530	Ribonuclease G or E	FALSE
364	PC_00000860	genome_2	K03470	rnhB; ribonuclease HII [EC:3.1.26.4]	COG0164	Ribonuclease HII	FALSE
365	PC_00000615	genome_2	NA	NA	NA	NA	FALSE
366	PC_00001069	genome_2	K04518	pheA2; prephenate dehydratase [EC:4.2.1.51]	COG0077	Prephenate dehydratase	FALSE
367	PC_00000868	genome_2	K18534	MPBQ/MSBQ methyltransferase [EC:2.1.1.295]	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	FALSE
368	PC_00000577	genome_2	K01338	lon; ATP-dependent Lon protease [EC:3.4.21.53]	COG2802	Uncharacterized protein, similar to the N-terminal domain of Lon protease	FALSE
369	PC_00000147	genome_2	K02946	RP-S10; small subunit ribosomal protein S10	COG0051	Ribosomal protein S10	FALSE
370	PC_00000098	genome_2	K02358	tuf; elongation factor Tu	COG0050	Translation elongation factor EF-Tu, a GTPase	FALSE
371	PC_00000323	genome_2	K02355	fusA; elongation factor G	COG0480	Translation elongation factor EF-G, a GTPase	FALSE
372	PC_00000167	genome_2	K02992	RP-S7; small subunit ribosomal protein S7	COG0049	Ribosomal protein S7	FALSE
373	PC_00000157	genome_2	K02950	RP-S12; small subunit ribosomal protein S12	COG0048	Ribosomal protein S12	FALSE
374	PC_00000583	genome_2	NA	NA	COG0316	Fe-S cluster assembly iron-binding protein IscA	FALSE
375	PC_00001248	genome_2	NA	NA	COG4632	Exopolysaccharide biosynthesis protein related to N-acetylglucosamine-1-phosphodiester alpha-N-acety...	FALSE
376	PC_00000935	genome_2	K00284	E1.4.7.1; glutamate synthase (ferredoxin) [EC:1.4.7.1]	COG0067!!!COG0069!!!COG0070	Glutamate synthase domain 1!!!Glutamate synthase domain 2!!!Glutamate synthase domain 3	FALSE
377	PC_00001435	genome_2	NA	NA	COG2350	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	FALSE
378	PC_00000101	genome_2	K03644	lipA; lipoyl synthase [EC:2.8.1.8]	COG0320	Lipoate synthase	FALSE
379	PC_00001139	genome_2	K13541	cbiGH-cobJ; cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131]	COG1010!!!COG2073	Precorrin-3B methylase!!!Cobalamin biosynthesis protein CbiG	FALSE
380	PC_00003745	genome_2	NA	NA	COG3468	Type V secretory pathway, adhesin AidA	FALSE
381	PC_00000281	genome_2	K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	FALSE
382	PC_00000253	genome_2	K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	FALSE
383	PC_00001686	genome_2	NA	NA	COG3435!!!COG3435	Gentisate 1,2-dioxygenase!!!Gentisate 1,2-dioxygenase	FALSE
384	PC_00001958	genome_2	K10255	FAD6; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]	COG3239	Fatty acid desaturase	FALSE
385	PC_00000663	genome_2	NA	NA	COG0841	Multidrug efflux pump subunit AcrB	FALSE
386	PC_00000050	genome_2	K02699	psaL; photosystem I subunit XI	NA	NA	FALSE
387	PC_00002297	genome_2	NA	NA	NA	NA	FALSE
388	PC_00000433	genome_2	NA	NA	COG0463	Glycosyltransferase involved in cell wall bisynthesis	FALSE
389	PC_00000922	genome_2	NA	NA	COG0791	Cell wall-associated hydrolase, NlpC family	FALSE
390	PC_00001084	genome_2	NA	NA	COG2367	Beta-lactamase class A	FALSE
391	PC_00001050	genome_2	K01775	alr; alanine racemase [EC:5.1.1.1]	COG0787	Alanine racemase	FALSE
392	PC_00000256	genome_2	NA	NA	COG1403	5-methylcytosine-specific restriction endonuclease McrA	FALSE
393	PC_00000380	genome_2	K02835	prfA; peptide chain release factor 1	COG0216	Protein chain release factor A	FALSE
394	PC_00000199	genome_2	K02909	RP-L31; large subunit ribosomal protein L31	COG0254	Ribosomal protein L31	FALSE
395	PC_00000206	genome_2	K02996	RP-S9; small subunit ribosomal protein S9	COG0103	Ribosomal protein S9	FALSE
396	PC_00000251	genome_2	K02871	RP-L13; large subunit ribosomal protein L13	COG0102	Ribosomal protein L13	FALSE
397	PC_00001033	genome_2	K06173	truA; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	FALSE
398	PC_00000180	genome_2	K02879	RP-L17; large subunit ribosomal protein L17	COG0203	Ribosomal protein L17	FALSE
399	PC_00000294	genome_2	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	FALSE
400	PC_00000175	genome_2	K02948	RP-S11; small subunit ribosomal protein S11	COG0100	Ribosomal protein S11	FALSE
401	PC_00000190	genome_2	K02952	RP-S13; small subunit ribosomal protein S13	COG0099	Ribosomal protein S13	FALSE
402	PC_00000734	genome_2	K00939	adk; adenylate kinase [EC:2.7.4.3]	COG0563	Adenylate kinase or related kinase	FALSE
403	PC_00000267	genome_2	K03076	secY; preprotein translocase subunit SecY	COG0201	Preprotein translocase subunit SecY	FALSE
404	PC_00000301	genome_2	K02876	RP-L15; large subunit ribosomal protein L15	COG0200	Ribosomal protein L15	FALSE
405	PC_00000172	genome_2	K02988	RP-S5; small subunit ribosomal protein S5	COG0098	Ribosomal protein S5	FALSE
406	PC_00000212	genome_2	K02881	RP-L18; large subunit ribosomal protein L18	COG0256	Ribosomal protein L18	FALSE
407	PC_00000207	genome_2	K02933	RP-L6; large subunit ribosomal protein L6	COG0097	Ribosomal protein L6P/L9E	FALSE
408	PC_00000174	genome_2	K02994	RP-S8; small subunit ribosomal protein S8	COG0096	Ribosomal protein S8	FALSE
409	PC_00000176	genome_2	K02931	RP-L5; large subunit ribosomal protein L5	COG0094	Ribosomal protein L5	FALSE
410	PC_00000178	genome_2	K02895	RP-L24; large subunit ribosomal protein L24	COG0198	Ribosomal protein L24	FALSE
411	PC_00000242	genome_2	K02874	RP-L14; large subunit ribosomal protein L14	COG0093	Ribosomal protein L14	FALSE
412	PC_00000195	genome_2	K02961	RP-S17; small subunit ribosomal protein S17	COG0186	Ribosomal protein S17	FALSE
413	PC_00000298	genome_2	K02904	RP-L29; large subunit ribosomal protein L29	COG0255	Ribosomal protein L29	FALSE
414	PC_00000188	genome_2	K02878	RP-L16; large subunit ribosomal protein L16	COG0197	Ribosomal protein L16/L10AE	FALSE
415	PC_00000203	genome_2	K02982	RP-S3; small subunit ribosomal protein S3	COG0092	Ribosomal protein S3	FALSE
416	PC_00000280	genome_2	K02890	RP-L22; large subunit ribosomal protein L22	COG0091	Ribosomal protein L22	FALSE
417	PC_00000159	genome_2	K02965	RP-S19; small subunit ribosomal protein S19	COG0185	Ribosomal protein S19	FALSE
418	PC_00000177	genome_2	K02886	RP-L2; large subunit ribosomal protein L2	COG0090	Ribosomal protein L2	FALSE
419	PC_00000161	genome_2	K02892	RP-L23; large subunit ribosomal protein L23	COG0089	Ribosomal protein L23	FALSE
420	PC_00000342	genome_2	K02926	RP-L4; large subunit ribosomal protein L4	COG0088	Ribosomal protein L4	FALSE
421	PC_00000349	genome_2	K02906	RP-L3; large subunit ribosomal protein L3	COG0087	Ribosomal protein L3	FALSE
422	PC_00000292	genome_2	K05585	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:1.6.5.3]	NA	NA	FALSE
423	PC_00001368	genome_2	NA	NA	COG1149	MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain	FALSE
424	PC_00000884	genome_2	NA	NA	COG3854	Stage III sporulation protein SpoIIIAA	FALSE
425	PC_00001259	genome_2	NA	NA	COG0546	Phosphoglycolate phosphatase, HAD superfamily	FALSE
426	PC_00000402	genome_2	K03553	recA; recombination protein RecA	COG0468	RecA/RadA recombinase	FALSE
427	PC_00000319	genome_2	NA	NA	NA	NA	FALSE
428	PC_00000459	genome_2	NA	NA	NA	NA	FALSE
429	PC_00001350	genome_2	K03722	dinG; ATP-dependent DNA helicase DinG [EC:3.6.4.12]	COG1199	Rad3-related DNA helicase	FALSE
430	PC_00001372	genome_2	K15226	tyrAa; arogenate dehydrogenase (NADP+) [EC:1.3.1.78]	COG0287	Prephenate dehydrogenase	FALSE
431	PC_00001137	genome_2	NA	NA	COG1233	Phytoene dehydrogenase-related protein	FALSE
432	PC_00002090	genome_2	NA	NA	COG3001	Fructosamine-3-kinase	FALSE
433	PC_00000084	genome_2	NA	NA	NA	NA	FALSE
